,x
10,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47], [3, 27, 4, 19, 73, 74, 2, 6, 1, 75], [10, 11, 7, 12, 76, 2, 6, 1, 26], [33, 77, 78, 79, 80, 81], [8, 48, 82, 7, 10, 11, 12], [20, 5, 2, 6, 17, 83, 49, 34, 18]]"
11,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18]]"
12,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59]]"
13,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44]]"
14,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26]]"
15,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69]]"
16,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47]]"
17,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47], [3, 27, 4, 19, 73, 74, 2, 6, 1, 75]]"
18,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47], [3, 27, 4, 19, 73, 74, 2, 6, 1, 75], [10, 11, 7, 12, 76, 2, 6, 1, 26]]"
19,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47], [3, 27, 4, 19, 73, 74, 2, 6, 1, 75], [10, 11, 7, 12, 76, 2, 6, 1, 26], [33, 77, 78, 79, 80, 81]]"
20,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47], [3, 27, 4, 19, 73, 74, 2, 6, 1, 75], [10, 11, 7, 12, 76, 2, 6, 1, 26], [33, 77, 78, 79, 80, 81], [8, 48, 82, 7, 10, 11, 12]]"
21,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18]]"
22,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59]]"
23,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44]]"
24,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26]]"
25,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69]]"
26,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47]]"
27,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47], [3, 27, 4, 19, 73, 74, 2, 6, 1, 75]]"
28,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47], [3, 27, 4, 19, 73, 74, 2, 6, 1, 75], [10, 11, 7, 12, 76, 2, 6, 1, 26]]"
29,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47], [3, 27, 4, 19, 73, 74, 2, 6, 1, 75], [10, 11, 7, 12, 76, 2, 6, 1, 26], [33, 77, 78, 79, 80, 81]]"
30,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18]]"
31,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59]]"
32,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44]]"
33,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26]]"
34,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69]]"
35,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47]]"
36,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47], [3, 27, 4, 19, 73, 74, 2, 6, 1, 75]]"
37,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47], [3, 27, 4, 19, 73, 74, 2, 6, 1, 75], [10, 11, 7, 12, 76, 2, 6, 1, 26]]"
38,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18]]"
39,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59]]"
40,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44]]"
41,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26]]"
42,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69]]"
43,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47]]"
44,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47], [3, 27, 4, 19, 73, 74, 2, 6, 1, 75]]"
45,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18]]"
46,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59]]"
47,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44]]"
48,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26]]"
49,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69]]"
50,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47]]"
51,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47], [3, 27, 4, 19, 73, 74, 2, 6, 1, 75]]"
52,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47], [3, 27, 4, 19, 73, 74, 2, 6, 1, 75], [10, 11, 7, 12, 76, 2, 6, 1, 26]]"
53,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47], [3, 27, 4, 19, 73, 74, 2, 6, 1, 75], [10, 11, 7, 12, 76, 2, 6, 1, 26], [33, 77, 78, 79, 80, 81]]"
54,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47], [3, 27, 4, 19, 73, 74, 2, 6, 1, 75], [10, 11, 7, 12, 76, 2, 6, 1, 26], [33, 77, 78, 79, 80, 81], [8, 48, 82, 7, 10, 11, 12]]"
55,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18]]"
56,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59]]"
57,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44]]"
58,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26]]"
59,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69]]"
60,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47]]"
61,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47], [3, 27, 4, 19, 73, 74, 2, 6, 1, 75]]"
62,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47], [3, 27, 4, 19, 73, 74, 2, 6, 1, 75], [10, 11, 7, 12, 76, 2, 6, 1, 26]]"
63,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47], [3, 27, 4, 19, 73, 74, 2, 6, 1, 75], [10, 11, 7, 12, 76, 2, 6, 1, 26], [33, 77, 78, 79, 80, 81]]"
64,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47], [3, 27, 4, 19, 73, 74, 2, 6, 1, 75], [10, 11, 7, 12, 76, 2, 6, 1, 26], [33, 77, 78, 79, 80, 81], [8, 48, 82, 7, 10, 11, 12]]"
65,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18]]"
66,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59]]"
67,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44]]"
68,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26]]"
69,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69]]"
70,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47]]"
71,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47], [3, 27, 4, 19, 73, 74, 2, 6, 1, 75]]"
72,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47], [3, 27, 4, 19, 73, 74, 2, 6, 1, 75], [10, 11, 7, 12, 76, 2, 6, 1, 26]]"
73,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47], [3, 27, 4, 19, 73, 74, 2, 6, 1, 75], [10, 11, 7, 12, 76, 2, 6, 1, 26], [33, 77, 78, 79, 80, 81]]"
74,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18]]"
75,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59]]"
76,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44]]"
77,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26]]"
78,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69]]"
79,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47]]"
80,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18]]"
81,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59]]"
82,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44]]"
83,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26]]"
84,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69]]"
85,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47]]"
86,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47], [3, 27, 4, 19, 73, 74, 2, 6, 1, 75]]"
87,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18]]"
88,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59]]"
89,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44]]"
90,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26]]"
91,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69]]"
92,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47]]"
93,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47], [3, 27, 4, 19, 73, 74, 2, 6, 1, 75]]"
94,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47], [3, 27, 4, 19, 73, 74, 2, 6, 1, 75], [10, 11, 7, 12, 76, 2, 6, 1, 26]]"
